Skill ID,Skill Name,Category
281,CatBoost,DevOps & Cloud
282,OpenCV,DevOps & Cloud
283,NLTK,DevOps & Cloud
284,spaCy,DevOps & Cloud
285,Hugging Face,DevOps & Cloud
286,Transformers,DevOps & Cloud
287,BERT,DevOps & Cloud
288,GPT,DevOps & Cloud
289,DALL-E,DevOps & Cloud
290,Stable Diffusion,DevOps & Cloud
291,Computer Vision,DevOps & Cloud
292,Natural Language Processing,DevOps & Cloud
293,Reinforcement Learning,DevOps & Cloud
294,Generative AI,DevOps & Cloud
295,LLM,DevOps & Cloud
296,LangChain,DevOps & Cloud
297,LlamaIndex,DevOps & Cloud
298,Pinecone,DevOps & Cloud
299,Weaviate,DevOps & Cloud
300,Chroma,DevOps & Cloud
301,MLflow,DevOps & Cloud
302,Kubeflow,DevOps & Cloud
303,Airflow,DevOps & Cloud
304,Prefect,DevOps & Cloud
305,Dagster,DevOps & Cloud
306,Metaflow,DevOps & Cloud
307,Pachyderm,DevOps & Cloud
308,Jupyter,DevOps & Cloud
309,Colab,DevOps & Cloud
310,Kaggle,DevOps & Cloud
311,Data Analysis,DevOps & Cloud
312,Data Visualization,DevOps & Cloud
313,Statistical Analysis,DevOps & Cloud
314,Predictive Modeling,DevOps & Cloud
315,Cluster Analysis,DevOps & Cloud
316,Regression Analysis,DevOps & Cloud
317,Classification,DevOps & Cloud
318,Neural Networks,DevOps & Cloud
319,CNN,DevOps & Cloud
320,RNN,DevOps & Cloud
321,LSTM,DevOps & Cloud
322,GRU,DevOps & Cloud
323,GAN,DevOps & Cloud
324,Autoencoder,DevOps & Cloud
325,Transfer Learning,DevOps & Cloud
326,Feature Engineering,DevOps & Cloud
327,Model Deployment,DevOps & Cloud
328,MLOps,DevOps & Cloud
329,A/B Testing,DevOps & Cloud
330,Hypothesis Testing,DevOps & Cloud
331,Time Series Analysis,DevOps & Cloud
332,Anomaly Detection,DevOps & Cloud
333,Recommendation Systems,DevOps & Cloud
334,Computer Vision,DevOps & Cloud
335,Object Detection,DevOps & Cloud
336,Image Segmentation,DevOps & Cloud
337,Speech Recognition,DevOps & Cloud
338,Text-to-Speech,DevOps & Cloud
339,Sentiment Analysis,DevOps & Cloud
340,Topic Modeling,DevOps & Cloud
341,Named Entity Recognition,DevOps & Cloud
342,TCP/IP,DevOps & Cloud
343,HTTP,DevOps & Cloud
344,HTTPS,DevOps & Cloud
345,DNS,DevOps & Cloud
346,SSL/TLS,DevOps & Cloud
347,SSH,DevOps & Cloud
348,VPN,DevOps & Cloud
349,Firewall,DevOps & Cloud
350,Load Balancer,DevOps & Cloud
351,CDN,DevOps & Cloud
352,API Gateway,DevOps & Cloud
353,Service Mesh,DevOps & Cloud
354,Istio,DevOps & Cloud
355,Linkerd,DevOps & Cloud
356,Consul,DevOps & Cloud
357,Traefik,DevOps & Cloud
358,NGINX,DevOps & Cloud
359,Apache,DevOps & Cloud
360,Caddy,DevOps & Cloud
361,HAProxy,Machine Learning & AI
362,OAuth,Machine Learning & AI
363,OAuth2,Machine Learning & AI
364,OpenID Connect,Machine Learning & AI
365,JWT,Machine Learning & AI
366,SAML,Machine Learning & AI
367,LDAP,Machine Learning & AI
368,RADIUS,Machine Learning & AI
369,Kerberos,Machine Learning & AI
370,PKI,Machine Learning & AI
371,Cryptography,Machine Learning & AI
372,Penetration Testing,Machine Learning & AI
373,Vulnerability Assessment,Machine Learning & AI
374,SIEM,Machine Learning & AI
375,SOC,Machine Learning & AI
376,IDS/IPS,Machine Learning & AI
377,WAF,Machine Learning & AI
378,DDoS Protection,Machine Learning & AI
379,Zero Trust,Machine Learning & AI
380,Zero Knowledge Proof,Machine Learning & AI
381,Blockchain,Machine Learning & AI
382,Smart Contracts,Machine Learning & AI
383,Unit Testing,Machine Learning & AI
384,Integration Testing,Machine Learning & AI
385,End-to-End Testing,Machine Learning & AI
386,Functional Testing,Machine Learning & AI
387,Performance Testing,Machine Learning & AI
388,Load Testing,Machine Learning & AI
389,Stress Testing,Machine Learning & AI
390,Security Testing,Machine Learning & AI
391,Usability Testing,Machine Learning & AI
392,Accessibility Testing,Machine Learning & AI
393,Automated Testing,Machine Learning & AI
394,Manual Testing,Machine Learning & AI
395,Test Driven Development,Machine Learning & AI
396,Behavior Driven Development,Machine Learning & AI
397,Jest,Machine Learning & AI
398,Mocha,Machine Learning & AI
399,Jasmine,Machine Learning & AI
400,Karma,Machine Learning & AI
401,Cypress,Machine Learning & AI
402,Selenium,Machine Learning & AI
403,Playwright,Machine Learning & AI
404,Puppeteer,Machine Learning & AI
405,Appium,Machine Learning & AI
406,Detox,Machine Learning & AI
407,Cucumber,Machine Learning & AI
408,SpecFlow,Machine Learning & AI
409,Robot Framework,Machine Learning & AI
410,Postman,Machine Learning & AI
411,SoapUI,Machine Learning & AI
412,JMeter,Machine Learning & AI
413,Agile,Machine Learning & AI
414,Scrum,Machine Learning & AI
415,Kanban,Machine Learning & AI
416,Waterfall,Machine Learning & AI
417,DevOps,Machine Learning & AI
418,CI/CD,Machine Learning & AI
419,API,Machine Learning & AI
420,REST API,Machine Learning & AI
421,GraphQL API,Machine Learning & AI
422,gRPC,Machine Learning & AI
423,Microservices,Machine Learning & AI
424,Monolith,Machine Learning & AI
425,Serverless,Machine Learning & AI
426,Containerization,Machine Learning & AI
427,Virtualization,Machine Learning & AI
428,Domain Driven Design,Machine Learning & AI
429,Test Driven Development,Machine Learning & AI
430,Behavior Driven Development,Machine Learning & AI
431,Extreme Programming,Machine Learning & AI
432,Pair Programming,Machine Learning & AI
433,Code Review,Machine Learning & AI
434,Refactoring,Machine Learning & AI
435,Design Patterns,Machine Learning & AI
436,Clean Code,Machine Learning & AI
437,SOLID Principles,Machine Learning & AI
438,DRY,Machine Learning & AI
439,KISS,Machine Learning & AI
440,YAGNI,Machine Learning & AI
441,12 Factor App,Networking & Security
442,Git Flow,Networking & Security
443,GitHub Flow,Networking & Security
444,Trunk Based Development,Networking & Security
445,Feature Flags,Networking & Security
446,Blue-Green Deployment,Networking & Security
447,Canary Release,Networking & Security
448,A/B Testing,Networking & Security
449,Monitoring,Networking & Security
450,Observability,Networking & Security
451,Logging,Networking & Security
452,Linux,Networking & Security
453,Unix,Networking & Security
454,Windows,Networking & Security
455,macOS,Networking & Security
456,Bash,Networking & Security
457,Zsh,Networking & Security
458,PowerShell,Networking & Security
459,Vim,Networking & Security
460,Emacs,Networking & Security
461,VS Code,Networking & Security
462,IntelliJ,Networking & Security
463,PyCharm,Networking & Security
464,WebStorm,Networking & Security
465,Android Studio,Networking & Security
466,Xcode,Networking & Security
467,Eclipse,Networking & Security
468,Sublime Text,Networking & Security
469,Atom,Networking & Security
470,Notepad++,Networking & Security
471,Jupyter Notebook,Networking & Security
472,RStudio,Networking & Security
473,Postman,Networking & Security
474,Insomnia,Networking & Security
475,Swagger,Networking & Security
476,OpenAPI,Networking & Security
477,Figma,Networking & Security
478,Sketch,Networking & Security
479,Adobe XD,Networking & Security
480,Zeplin,Networking & Security
481,InVision,Networking & Security
482,Miro,Networking & Security
483,Lucidchart,Networking & Security
484,Draw.io,Networking & Security
485,Confluence,Networking & Security
486,Notion,Networking & Security
487,Slack,Networking & Security
488,Microsoft Teams,Networking & Security
489,Discord,Networking & Security
490,Zoom,Networking & Security
491,Trello,Testing & QA
492,Asana,Testing & QA
493,Monday.com,Testing & QA
494,ClickUp,Testing & QA
495,Basecamp,Testing & QA
496,Airtable,Testing & QA
497,Google Workspace,Testing & QA
498,Microsoft 365,Testing & QA
499,Blockchain,Testing & QA
500,Web3,Testing & QA
501,NFT,Testing & QA
502,DeFi,Testing & QA
503,Cryptocurrency,Testing & QA
504,Metaverse,Testing & QA
505,AR/VR,Testing & QA
506,Augmented Reality,Testing & QA
507,Virtual Reality,Testing & QA
508,Mixed Reality,Testing & QA
509,IoT,Testing & QA
510,Internet of Things,Testing & QA
511,Edge Computing,Testing & QA
512,Quantum Computing,Testing & QA
513,5G,Testing & QA
514,6G,Testing & QA
515,Autonomous Vehicles,Testing & QA
516,Robotics,Testing & QA
517,Drones,Testing & QA
518,3D Printing,Testing & QA
519,Biotechnology,Testing & QA
520,Nanotechnology,Testing & QA
521,Space Technology,Development Practices
522,Renewable Energy,Development Practices
523,Smart Cities,Development Practices
524,Digital Twins,Development Practices
525,Low Code,Development Practices
526,No Code,Development Practices
527,RPA,Development Practices
528,Robotic Process Automation,Development Practices
